Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	Hp_1 Spectral Count	Hp_2 Spectral Count	Hp_3 Spectral Count	Mx_1 Spectral Count	Mx_2 Spectral Count	Mx_3 Spectral Count	T_1 Spectral Count	T_2 Spectral Count	T_3 Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	Hp_1 Unique Spectral Count	Hp_2 Unique Spectral Count	Hp_3 Unique Spectral Count	Mx_1 Unique Spectral Count	Mx_2 Unique Spectral Count	Mx_3 Unique Spectral Count	T_1 Unique Spectral Count	T_2 Unique Spectral Count	T_3 Unique Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	Hp_1 Total Spectral Count	Hp_2 Total Spectral Count	Hp_3 Total Spectral Count	Mx_1 Total Spectral Count	Mx_2 Total Spectral Count	Mx_3 Total Spectral Count	T_1 Total Spectral Count	T_2 Total Spectral Count	T_3 Total Spectral Count	C_1 Intensity	C_2 Intensity	C_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	Hp_1 Intensity	Hp_2 Intensity	Hp_3 Intensity	Mx_1 Intensity	Mx_2 Intensity	Mx_3 Intensity	T_1 Intensity	T_2 Intensity	T_3 Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	Hp_1 MaxLFQ Intensity	Hp_2 MaxLFQ Intensity	Hp_3 MaxLFQ Intensity	Mx_1 MaxLFQ Intensity	Mx_2 MaxLFQ Intensity	Mx_3 MaxLFQ Intensity	T_1 MaxLFQ Intensity	T_2 MaxLFQ Intensity	T_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q7ZUQ3|STK3_DANRE	Q7ZUQ3	STK3_DANRE	stk3	492	Danio rerio	2:Experimental evidence at transcript level	Serine/threonine-protein kinase 3	0.3545	0.9718	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1891409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7ZUW2|HYOU1_DANRE	Q7ZUW2	HYOU1_DANRE	hyou1	980	Danio rerio	2:Experimental evidence at transcript level	Hypoxia up-regulated protein 1	1.0	0.999	26	212	212	212	16	15	14	17	13	13	16	13	12	14	11	12	16	18	12	16	15	14	17	13	13	16	13	12	14	11	12	16	18	12	16	15	14	17	13	13	16	13	12	14	11	12	16	18	12	4.96927424E8	4.25415328E8	5.29801184E8	5.31512E8	3.51185504E8	4.25714752E8	4.11754848E8	3.43612928E8	4.03677632E8	6.8139782E8	2.33332672E8	4.22794432E8	4.66595808E8	3.80138496E8	5.5986253E8	1.71093536E8	1.40325072E8	1.64012416E8	1.49066112E8	1.359244E8	1.62325696E8	1.62429552E8	1.44947776E8	1.73782784E8	1.33865336E8	1.22177496E8	1.50621792E8	1.5641584E8	1.2955572E8	1.53736736E8	
sp|Q7ZUY3|H2AX_DANRE	Q7ZUY3	H2AX_DANRE	h2ax	142	Danio rerio	2:Experimental evidence at transcript level	Histone H2AX	1.0	0.999	6	264	225	264	10	30	11	14	14	12	14	15	16	48	14	11	15	15	25	7	28	8	11	12	9	11	13	13	46	12	9	11	13	22	10	30	11	14	14	12	14	15	16	48	14	11	15	15	25	2.47591567E10	1.33174303E10	1.49902254E10	2.76888945E10	1.30694431E10	1.51219436E10	2.30752891E10	1.08896819E10	1.53725583E10	4.7615427E10	1.09031885E10	1.62132828E10	2.65491108E10	1.38333553E10	1.93660232E10	1.22631035E10	1.47956132E10	4.7872113E9	9.5229491E9	6.9300716E9	4.7893473E9	6.6128189E9	6.4296228E9	4.4799867E9	6.7407458E10	5.6010588E9	3.91979008E9	1.09981993E10	5.2132193E9	2.26278277E10	
sp|Q7ZV22|MTAP_DANRE	Q7ZV22	MTAP_DANRE	mtap	280	Danio rerio	2:Experimental evidence at transcript level	S-methyl-5'-thioadenosine phosphorylase	1.0	0.999	8	75	75	75	6	4	7	8	3	7	5	2	5	3	2	6	8	1	8	6	4	7	8	3	7	5	2	5	3	2	6	8	1	8	6	4	7	8	3	7	5	2	5	3	2	6	8	1	8	4.10041E7	4.800374E7	6.1457328E7	2.9101808E7	1.6767551E7	6.4340168E7	3.9089064E7	1.5732537E7	3.7446128E7	4.6819428E7	1.1904368E7	3.457106E7	5.2108316E7	9540865.0	9.4783344E7	1.7506802E7	1.6329058E7	1.9355948E7	1.6341632E7	8486844.0	2.14102E7	1.5578866E7	1.1086184E7	1.4250642E7	2.7151546E7	9775625.0	1.6647709E7	1.6535835E7	1.0249893E7	2.9888124E7	
sp|Q7ZV43|TOLIP_DANRE	Q7ZV43	TOLIP_DANRE	tollip	276	Danio rerio	2:Experimental evidence at transcript level	Toll-interacting protein	0.9992	0.9984	2	12	12	12	2	1	0	1	2	0	1	1	0	1	1	1	0	1	0	2	1	0	1	2	0	1	1	0	1	1	1	0	1	0	2	1	0	1	2	0	1	1	0	1	1	1	0	1	0	1.1298902E7	1813019.1	0.0	1.207308E7	913159.6	0.0	0.0	1657276.2	0.0	1921071.0	1047533.8	8119219.5	0.0	1335283.4	0.0	2015894.4	3104461.0	0.0	2405249.0	1563617.5	0.0	0.0	2837780.0	0.0	3289480.0	1793708.5	1617544.5	0.0	2286426.5	0.0	
sp|Q7ZV55|EIF3I_DANRE	Q7ZV55	EIF3I_DANRE	eif3i	325	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit I	1.0	0.999	3	18	18	18	0	1	0	1	1	0	2	1	1	2	2	2	2	2	1	0	1	0	1	1	0	2	1	1	2	2	2	2	2	1	0	1	0	1	1	0	2	1	1	2	2	2	2	2	1	0.0	8959176.0	0.0	0.0	2.7082182E7	0.0	3.89925E7	1.1643926E7	5719713.5	1.6796214E7	1.3466139E7	1.3529862E7	1.653819E7	2.7410116E7	2.405178E7	0.0	9964463.0	0.0	0.0	1.2070457E7	0.0	2.788858E7	1.2950462E7	1.2512971E7	1.8680876E7	1.0216572E7	9617998.0	1.8393898E7	1.1359888E7	1.0495474E7	
sp|Q7ZV80|SPF30_DANRE	Q7ZV80	SPF30_DANRE	smndc1	237	Danio rerio	2:Experimental evidence at transcript level	Survival of motor neuron-related-splicing factor 30	1.0	0.999	3	33	33	33	3	3	1	2	1	3	3	1	2	3	2	2	2	3	2	3	3	1	2	1	3	3	1	2	3	2	2	2	3	2	3	3	1	2	1	3	3	1	2	3	2	2	2	3	2	4.361274E7	5.834742E7	2.7513494E7	2.3060882E7	1.1168242E7	2.9966628E7	2.6325948E7	3.83413E7	8719530.0	5.7357012E7	1.9385462E7	1.6441719E7	1.7029446E7	3.8076352E7	7.716172E7	2.3524812E7	6.5244524E7	1.0218446E7	9676494.0	1.5821238E7	1.0498218E7	1.0935285E7	1.9794144E7	1.2352326E7	4.1732956E7	1.4599323E7	1.1290121E7	1.015582E7	2.6991546E7	4.4812448E7	
sp|Q7ZV82|RL27_DANRE	Q7ZV82	RL27_DANRE	rpl27	136	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL27	1.0	0.999	4	22	22	22	2	2	1	2	2	1	1	2	1	2	2	1	1	2	0	2	2	1	2	2	1	1	2	1	2	2	1	1	2	0	2	2	1	2	2	1	1	2	1	2	2	1	1	2	0	3.5789928E7	6.1298976E7	4.4318584E7	9.0633072E7	7.8029128E7	2.6952462E7	5.3166044E7	6.8825296E7	2.80765E7	4.9926828E7	8.269496E7	3.243059E7	5.8395768E7	7.0354592E7	6.2451264E7	2.2198626E7	3.5598608E7	2.5701868E7	3.8730024E7	4.51487E7	2.6653712E7	3.1336676E7	4.043624E7	2.776529E7	4.447122E7	4.4644928E7	3.2071118E7	3.2773424E7	4.0617764E7	2.909501E7	
sp|Q7ZV96|RL10_DANRE	Q7ZV96	RL10_DANRE	rpl10	215	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein uL16	1.0	0.9952	4	10	10	10	1	0	1	2	1	1	0	0	0	1	0	1	1	1	0	1	0	1	2	1	1	0	0	0	1	0	1	1	1	0	1	0	1	2	1	1	0	0	0	1	0	1	1	1	0	1.4194923E7	0.0	3.5245952E7	2.9201806E7	4.1825616E7	3.122923E7	1.6934774E7	0.0	0.0	0.0	0.0	3.2424986E7	2.5076856E7	4.4320828E7	3.2466736E7	1.4194923E7	0.0	3.5245952E7	2.0465858E7	4.1825616E7	3.122923E7	1.6934774E7	0.0	0.0	0.0	0.0	3.2424986E7	2.050322E7	4.4320828E7	3.2466736E7	
sp|Q7ZVA0|SMU1_DANRE	Q7ZVA0	SMU1_DANRE	smu1	513	Danio rerio	2:Experimental evidence at transcript level	WD40 repeat-containing protein SMU1	0.9986	0.9952	2	9	9	9	2	1	0	1	1	0	0	0	0	1	0	0	1	1	1	2	1	0	1	1	0	0	0	0	1	0	0	1	1	1	2	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1.28512648E8	1.1285596E7	0.0	8446672.0	6656385.0	0.0	0.0	0.0	0.0	2.6126914E7	0.0	0.0	0.0	4982667.5	1.6470828E7	1.910198E7	1.520701E7	0.0	1.1381643E7	8969284.0	0.0	0.0	0.0	0.0	3.5205252E7	0.0	0.0	0.0	6713998.5	2.2193958E7	
sp|Q7ZVA6|IF4A3_DANRE	Q7ZVA6	IF4A3_DANRE	eif4a3	406	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic initiation factor 4A-III	1.0	0.999	4	7	7	7	1	0	0	3	0	0	0	0	0	1	0	0	2	0	0	1	0	0	3	0	0	0	0	0	1	0	0	2	0	0	1	0	0	3	0	0	0	0	0	1	0	0	2	0	0	2.3771816E7	0.0	7452209.0	5.2861404E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4748264E7	0.0	1.516973E7	2.8258814E7	0.0	7352589.0	2.5295062E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.780196E7	0.0	1.4966943E7	
sp|Q7ZVB2|A9A1A_DANRE	Q7ZVB2	A9A1A_DANRE	aldh9a1a	508	Danio rerio	2:Experimental evidence at transcript level	4-trimethylaminobutyraldehyde dehydrogenase A	1.0	0.999	13	73	70	73	8	2	4	8	4	3	8	4	4	8	4	3	7	2	4	7	2	4	8	4	3	7	4	4	8	4	3	6	2	4	8	2	4	8	4	3	8	4	4	8	4	3	7	2	4	1.10763328E8	8810304.0	5.8781968E7	1.30743352E8	1.382624E7	2.0800918E7	1.11809864E8	1.9437342E7	3.6036396E7	2.8731088E8	1.1830112E7	2.704837E7	1.32540312E8	5199457.0	5.305714E7	2.5809906E7	7641132.0	1.5771965E7	4.6524348E7	1.1587688E7	1.3079685E7	2.9629052E7	1.0293644E7	1.4810779E7	3.8354048E7	5101667.5	1.3922681E7	3.4922908E7	4802086.5	1.1494706E7	
sp|Q7ZVC4|CHM4B_DANRE	Q7ZVC4	CHM4B_DANRE	chmp4b	220	Danio rerio	2:Experimental evidence at transcript level	Charged multivesicular body protein 4b	1.0	0.999	7	52	41	52	3	6	3	2	5	3	2	6	2	2	7	2	1	5	3	3	4	3	2	4	2	2	4	2	2	5	2	1	3	2	3	6	3	2	5	3	2	6	2	2	7	2	1	5	3	1.8160624E7	8.0150792E7	2.4311934E7	9593280.0	4.1817176E7	1.8205946E7	1.2279285E7	5.5691852E7	1.3131571E7	2.0021008E7	5.8769964E7	1.2910436E7	7652737.0	7.5001888E7	5.0224556E7	1.1828747E7	2.7981742E7	1.177228E7	7037670.0	1.6608568E7	1.0235404E7	8972998.0	1.8047662E7	9248588.0	1.7943362E7	1.6298459E7	9977483.0	7652737.0	2.1322078E7	2.78378E7	
sp|Q7ZVC9|SMAP_DANRE	Q7ZVC9	SMAP_DANRE	smap	171	Danio rerio	1:Experimental evidence at protein level	Small acidic protein	0.798	0.996	1	4	4	4	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	9550437.0	8657000.0	1.0680488E7	9694844.0	0.0	0.0	1.0236979E7	0.0	0.0	0.0	0.0	0.0	9893662.0	0.0	0.0	9550437.0	8657000.0	1.0680488E7	9694844.0	0.0	0.0	1.0236979E7	0.0	0.0	0.0	0.0	0.0	9893662.0	0.0	0.0	
sp|Q7ZVE0|GAR1_DANRE	Q7ZVE0	GAR1_DANRE	gar1	226	Danio rerio	2:Experimental evidence at transcript level	H/ACA ribonucleoprotein complex subunit 1	1.0	0.9984	4	6	6	6	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1.5453608E7	0.0	9903963.0	1.961883E7	0.0	9809252.0	0.0	0.0	0.0	0.0	0.0	0.0	2.463187E7	0.0	2332760.2	1.0987292E7	0.0	9212969.0	1.3992778E7	0.0	9124866.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5224349E7	0.0	1.0410625E7	
sp|Q7ZVF3|SDHA_DANRE	Q7ZVF3	SDHA_DANRE	sdha	661	Danio rerio	2:Experimental evidence at transcript level	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1.0	0.999	15	104	104	104	8	8	6	10	13	4	7	6	3	6	6	5	10	7	5	8	8	6	10	13	4	7	6	3	6	6	5	10	7	5	8	8	6	10	13	4	7	6	3	6	6	5	10	7	5	1.17440504E8	1.40340048E8	1.0295096E8	1.76157616E8	1.86105696E8	5.8482108E7	7.3501696E7	9.6860752E7	6.0026928E7	6.5223772E7	1.1076808E8	8.0182664E7	1.4033752E8	1.00790296E8	1.23712664E8	2.8492796E7	4.14793E7	3.3453988E7	3.4402272E7	3.8551772E7	3.2158852E7	2.9760124E7	4.4202588E7	3.0692258E7	2.4529408E7	4.4131764E7	2.6779518E7	3.4769524E7	4.0375168E7	2.7775376E7	
sp|Q7ZVF9|ACTB2_DANRE	Q7ZVF9	ACTB2_DANRE	actbb	375	Danio rerio	1:Experimental evidence at protein level	Actin, cytoplasmic 2	1.0	0.999	36	1221	24	1221	65	97	82	73	103	71	62	89	98	86	99	70	71	100	55	1	2	2	1	3	2	1	2	0	1	2	1	1	4	1	65	97	82	73	103	71	62	89	98	86	99	70	71	100	55	3.17703844E10	5.7419895E10	4.3507044E10	3.09812408E10	7.3433235E10	4.0060064E10	3.27135683E10	5.6137073E10	4.1116484E10	3.9178211E10	6.0538425E10	4.3015246E10	3.03604122E10	8.2449768E10	4.120404E10	8.8553114E9	1.13902418E10	8.793982E9	7.5056814E9	1.38029527E10	8.3941299E9	7.3431055E9	1.16183972E10	9.0571233E9	1.27971727E10	1.22343711E10	9.3216666E9	8.2177551E9	1.28122634E10	8.859604E9	
sp|Q7ZVI7|ACTB1_DANRE	Q7ZVI7	ACTB1_DANRE	actba	375	Danio rerio	1:Experimental evidence at protein level	Actin, cytoplasmic 1	1.0	0.999	35	16	16	1213	1	1	1	1	2	1	1	1	1	1	1	1	1	2	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	0	65	96	81	73	102	70	62	88	99	86	98	70	71	98	54	1.1033415E7	5.1512012E7	1.6169297E7	9212099.0	4.4045388E7	1.1112556E7	5490436.0	2.5093676E7	1.2262489E7	3.0822956E7	3.2792414E7	1.2932593E7	1.3239625E7	5.3275388E7	0.0	1.1033415E7	5.1512012E7	1.6169297E7	9212099.0	3.9686996E7	1.1112556E7	5490436.0	2.5093676E7	1.2262489E7	3.0822956E7	3.2792414E7	1.2932593E7	1.3239625E7	4.831116E7	0.0	
sp|Q7ZVK3|SIR2_DANRE	Q7ZVK3	SIR2_DANRE	sirt2	379	Danio rerio	1:Experimental evidence at protein level	NAD-dependent protein deacetylase sirtuin-2	0.2702	0.9588	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1883422.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7ZVN5|SRP54_DANRE	Q7ZVN5	SRP54_DANRE	srp54	504	Danio rerio	2:Experimental evidence at transcript level	Signal recognition particle subunit SRP54	1.0	0.9851	2	8	8	8	1	0	0	2	1	1	0	0	0	0	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	1	1	0	1	3132216.5	0.0	0.0	1041145.2	0.0	1397369.1	0.0	0.0	0.0	0.0	0.0	1250523.0	0.0	0.0	1.5395646E7	3635060.5	0.0	0.0	1208290.0	0.0	1297132.9	0.0	0.0	0.0	0.0	0.0	1160820.2	0.0	0.0	7940263.5	
sp|Q7ZVY5|CISY_DANRE	Q7ZVY5	CISY_DANRE	cs	468	Danio rerio	2:Experimental evidence at transcript level	Citrate synthase, mitochondrial	1.0	0.999	12	78	78	78	10	2	4	8	1	4	11	1	4	10	2	5	11	2	3	10	2	4	8	1	4	11	1	4	10	2	5	11	2	3	10	2	4	8	1	4	11	1	4	10	2	5	11	2	3	3.48931872E8	3.4106148E7	7.728492E7	3.84544416E8	1.9888758E7	5.6412412E7	3.03225536E8	1.1159313E7	5.69235E7	3.78318976E8	1255254.8	7.9405624E7	3.941024E8	3.2534848E7	1.03424416E8	6.5117276E7	1.0137172E7	1.988086E7	8.1188232E7	1.2314477E7	1.9085916E7	5.823752E7	1.1128488E7	2.046052E7	9.647064E7	2.2968916E7	2.0670192E7	7.8034784E7	1.5769295E7	2.053588E7	
sp|Q7ZVZ6|PREP_DANRE	Q7ZVZ6	PREP_DANRE	pitrm1	1023	Danio rerio	2:Experimental evidence at transcript level	Presequence protease, mitochondrial	0.9997	0.9984	2	2	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3848238.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7ZW38|SPS1_DANRE	Q7ZW38	SPS1_DANRE	sephs1	392	Danio rerio	1:Experimental evidence at protein level	Selenide, water dikinase 1	1.0	0.9987	4	7	7	7	1	0	0	1	1	0	0	0	0	1	0	0	3	0	0	1	0	0	1	1	0	0	0	0	1	0	0	3	0	0	1	0	0	1	1	0	0	0	0	1	0	0	3	0	0	6815884.5	7879275.0	6569032.5	4186373.2	9963591.0	0.0	0.0	0.0	0.0	1.0514224E7	0.0	0.0	5990629.5	0.0	9983744.0	9728405.0	3216189.0	2756303.5	5975268.0	7433412.5	0.0	0.0	0.0	0.0	1.5007096E7	0.0	0.0	5050064.0	0.0	6022286.5	
sp|Q7ZW47|STAU2_DANRE	Q7ZW47	STAU2_DANRE	stau2	606	Danio rerio	2:Experimental evidence at transcript level	Double-stranded RNA-binding protein Staufen homolog 2	1.0	0.999	6	25	25	25	1	2	1	2	3	1	1	4	1	2	1	1	2	2	1	1	2	1	2	3	1	1	4	1	2	1	1	2	2	1	1	2	1	2	3	1	1	4	1	2	1	1	2	2	1	1.238592E7	4.2532944E7	9471454.0	1.050791E7	4.2348664E7	1.3939496E7	1.2435843E7	5.374684E7	1.0252796E7	3.9714764E7	1.0966237E7	1.1465397E7	1.8382868E7	3.7752668E7	3.4367552E7	1.3007361E7	2.3060984E7	9946667.0	1.1035125E7	1.5399996E7	1.4638884E7	1.3059788E7	1.5193304E7	1.0767211E7	2.9857612E7	1.1516447E7	1.2040652E7	1.2866807E7	1.0154133E7	1.8451502E7	
sp|Q7ZW78|RN181_DANRE	Q7ZW78	RN181_DANRE	rnf181	156	Danio rerio	2:Experimental evidence at transcript level	E3 ubiquitin-protein ligase RNF181	0.6093	0.9899	1	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5492237E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7ZWA3|RBMX_DANRE	Q7ZWA3	RBMX_DANRE	rbmx	379	Danio rerio	2:Experimental evidence at transcript level	RNA-binding motif protein, X chromosome	1.0	0.999	4	41	41	41	3	3	1	3	5	1	4	4	1	1	3	3	2	5	2	3	3	1	3	5	1	4	4	1	1	3	3	2	5	2	3	3	1	3	5	1	4	4	1	1	3	3	2	5	2	6.8118E7	6.9565088E7	2.3773128E7	5.1078856E7	8.219824E7	1.7656456E7	4.9927644E7	1.11426832E8	1.2569718E7	2.0098588E7	5.7382104E7	3.1736858E7	2.361812E7	7.5357064E7	3.9523944E7	2.4601564E7	3.157451E7	1.2965893E7	1.8617628E7	2.3934378E7	2.4506494E7	2.1871404E7	3.6134884E7	1.3247755E7	2.7896082E7	3.0310012E7	1.2094708E7	1.7950024E7	3.3280438E7	1.2926474E7	
sp|Q7ZWB2|UBL4A_DANRE	Q7ZWB2	UBL4A_DANRE	ubl4a	157	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin-like protein 4A	1.0	0.999	4	23	23	23	0	3	3	2	2	1	1	1	1	2	0	2	1	1	3	0	3	3	2	2	1	1	1	1	2	0	2	1	1	3	0	3	3	2	2	1	1	1	1	2	0	2	1	1	3	0.0	3.8901036E7	1.5704877E7	2.6358292E7	2.2702728E7	2.0354322E7	1.7051866E7	1.2540118E7	1.8055796E7	1.488319E7	0.0	2.3766478E7	4212442.0	2613116.8	3.5958856E7	0.0	2.8123044E7	9828651.0	1.3982853E7	1.4382699E7	1.1187878E7	1.4596137E7	1.073415E7	1.5455486E7	0.0	0.0	1.2390616E7	1.2464415E7	8543058.0	2.6367742E7	
sp|Q7ZWJ4|RL18A_DANRE	Q7ZWJ4	RL18A_DANRE	rpl18a	176	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL20	1.0	0.9988	4	14	14	14	3	0	0	3	0	0	2	1	0	2	0	0	3	0	0	3	0	0	3	0	0	2	1	0	2	0	0	3	0	0	3	0	0	3	0	0	2	1	0	2	0	0	3	0	0	2.6658846E7	0.0	1946274.6	5.4561768E7	0.0	0.0	4.4933024E7	1.1435999E7	0.0	1.2122537E7	0.0	0.0	5.3577476E7	0.0	0.0	7354529.5	0.0	1.0098742E7	2.936559E7	0.0	0.0	2.5216218E7	6692009.0	0.0	2.6891936E7	0.0	0.0	3.279191E7	0.0	0.0	
sp|Q7ZWJ7|RL34_DANRE	Q7ZWJ7	RL34_DANRE	rpl34	117	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL34	0.9959	0.9968	2	7	7	7	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0.0	6721974.5	0.0	6772258.5	1.1174066E7	0.0	0.0	1.5476655E7	0.0	1.1242874E7	0.0	0.0	5912610.0	1.1449097E7	4282531.0	0.0	6721974.5	0.0	6772258.5	1.1174066E7	0.0	0.0	1.5476655E7	0.0	1.1242874E7	0.0	0.0	5912610.0	1.1449097E7	4282531.0	
sp|Q802F3|SEP15_DANRE	Q802F3	SEP15_DANRE	selenof	153	Danio rerio	2:Experimental evidence at transcript level	Selenoprotein F	1.0	0.999	2	24	24	24	3	1	2	2	2	1	2	1	0	3	1	2	2	1	1	3	1	2	2	2	1	2	1	0	3	1	2	2	1	1	3	1	2	2	2	1	2	1	0	3	1	2	2	1	1	1.2687626E7	1.5260126E7	5067124.5	5761412.0	8704960.0	2325969.2	2199978.0	4863006.5	0.0	4.863764E7	5527014.5	5175520.5	6242257.0	3015912.2	1.0725499E7	6950605.5	1.4887684E7	3011155.5	3483658.0	5526241.0	2269201.2	3990634.2	4744319.0	0.0	2.1833026E7	5392121.0	3280490.5	3849485.5	2942305.2	1.046373E7	
sp|Q802G7|SELM_DANRE	Q802G7	SELM_DANRE	Selenom	151	Danio rerio	2:Experimental evidence at transcript level	Selenoprotein M	1.0	0.9983	4	9	9	9	0	1	1	1	2	1	0	0	1	0	0	1	0	1	0	0	1	1	1	2	1	0	0	1	0	0	1	0	1	0	0	1	1	1	2	1	0	0	1	0	0	1	0	1	0	0.0	1.1716041E7	7817816.5	8837828.0	2.6965136E7	7536054.5	7622912.5	0.0	4790895.0	0.0	0.0	8546420.0	0.0	7225641.0	1.265308E7	0.0	7058577.0	8363996.0	8593126.0	9069539.0	7327396.0	7411848.5	0.0	5125603.5	0.0	0.0	9143502.0	0.0	7047724.0	6371685.5	
sp|Q803E1|NCBP3_DANRE	Q803E1	NCBP3_DANRE	ncbp3	694	Danio rerio	2:Experimental evidence at transcript level	Nuclear cap-binding protein subunit 3	0.2414	0.9524	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q803F5|APMAP_DANRE	Q803F5	APMAP_DANRE	apmap	415	Danio rerio	2:Experimental evidence at transcript level	Adipocyte plasma membrane-associated protein	0.9843	0.9927	2	5	5	5	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0.0	0.0	5385225.0	8437086.0	0.0	4309917.5	0.0	2.6173446E7	0.0	2.4032448E7	0.0	0.0	0.0	0.0	4338160.5	0.0	0.0	6102670.5	9561115.0	0.0	4884105.5	0.0	2.96604E7	0.0	8735077.0	0.0	0.0	0.0	0.0	4916111.0	
