Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,170928_MW_1 Spectral Count,170928_MW_2 Spectral Count,170928_MW_3 Spectral Count,170928_MW_4 Spectral Count,170928_MW_5 Spectral Count,170928_MW_6 Spectral Count,170928_MW_1 Unique Spectral Count,170928_MW_2 Unique Spectral Count,170928_MW_3 Unique Spectral Count,170928_MW_4 Unique Spectral Count,170928_MW_5 Unique Spectral Count,170928_MW_6 Unique Spectral Count,170928_MW_1 Total Spectral Count,170928_MW_2 Total Spectral Count,170928_MW_3 Total Spectral Count,170928_MW_4 Total Spectral Count,170928_MW_5 Total Spectral Count,170928_MW_6 Total Spectral Count,170928_MW_1_6dpf_Intensity,170928_MW_2_6dpf_Intensity,170928_MW_3_6dpf_Intensity,170928_MW_4_6dpf_Intensity,170928_MW_5_6dpf_Intensity,170928_MW_6_6dpf_Intensity,170928_MW_1 MaxLFQ_6dpf_Intensity,170928_MW_2 MaxLFQ_6dpf_Intensity,170928_MW_3 MaxLFQ_6dpf_Intensity,170928_MW_4 MaxLFQ_6dpf_Intensity,170928_MW_5 MaxLFQ_6dpf_Intensity,170928_MW_6 MaxLFQ_6dpf_Intensity,Indistinguishable Proteins
sp|Q642H9|RS4X_DANRE,Q642H9,RS4X_DANRE,rps4x,263,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein eS4,1,0.999,22,127,127,127,26,15,24,18,29,15,26,15,24,18,29,15,26,15,24,18,29,15,3557219840,3037301250,2660959230,2261389820,2945611520,2102162050,795151740,624491780,638158020,487861184,635963650,487969504,
sp|Q642J5|RFOX1_DANRE,Q642J5,RFOX1_DANRE,rbfox1,373,Danio rerio,2:Experimental evidence at transcript level,RNA binding protein fox-1 homolog 1,0.9979,0.9833,3,4,1,4,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q642M9|DHDH_DANRE,Q642M9,DHDH_DANRE,dhdh,334,Danio rerio,2:Experimental evidence at transcript level,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase",0.9999,0.9974,2,9,9,9,1,2,3,0,2,1,1,2,3,0,2,1,1,2,3,0,2,1,10633805,21274350,46628824,0,12339821,8616106,14115619,10534217,17829026,0,16380234,7269594.5,
sp|Q66HV4|COPB_DANRE,Q66HV4,COPB_DANRE,copb1,953,Danio rerio,2:Experimental evidence at transcript level,Coatomer subunit beta,1,0.999,15,43,43,43,10,2,11,7,5,8,10,2,11,7,5,8,10,2,11,7,5,8,122607496,127622448,196345312,168871536,70154168,190043072,28555882,44989404,108660536,60594032,82876528,43025848,
sp|Q66HX8|GDAP2_DANRE,Q66HX8,GDAP2_DANRE,gdap2,504,Danio rerio,2:Experimental evidence at transcript level,Ganglioside-induced differentiation-associated protein 2,0.9831,0.983,2,9,9,9,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,119599912,145563840,144401232,97088032,144909920,64559332,72376824,89283072,87948488,97088032,88939336,64559332,
sp|Q66I12|CCD47_DANRE,Q66I12,CCD47_DANRE,ccdc47,486,Danio rerio,2:Experimental evidence at transcript level,PAT complex subunit CCDC47,0.9854,0.9905,2,2,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q66I14|SPS3_DANRE,Q66I14,SPS3_DANRE,sephs3,447,Danio rerio,2:Experimental evidence at transcript level,"Selenide, water dikinase 3",0.9992,0.9971,2,4,4,4,0,0,1,0,2,1,0,0,1,0,2,1,0,0,1,0,2,1,0,0,0,0,34061060,12167448,0,0,0,0,34061060,12167448,
sp|Q66I22|SRRT_DANRE,Q66I22,SRRT_DANRE,srrt,896,Danio rerio,2:Experimental evidence at transcript level,Serrate RNA effector molecule homolog,1,0.9983,4,7,7,7,2,0,1,2,1,1,2,0,1,2,1,1,2,0,1,2,1,1,0,0,9794210,43708412,7781558.5,0,0,0,15424148,19779476,0,0,
sp|Q66I24|ASSY_DANRE,Q66I24,ASSY_DANRE,ass1,414,Danio rerio,2:Experimental evidence at transcript level,Argininosuccinate synthase,1,0.999,6,29,29,29,4,7,5,3,5,5,4,7,5,3,5,5,4,7,5,3,5,5,89459616,80907208,37131520,12027249,79294832,72740704,44501876,24704262,40242932,6727615,79219208,41664456,
sp|Q66I42|MOESA_DANRE,Q66I42,MOESA_DANRE,msna,579,Danio rerio,1:Experimental evidence at protein level,Moesin a,1,0.999,21,113,113,113,19,20,19,18,18,19,19,20,19,18,18,19,19,20,19,18,18,19,813788610,1052238590,634449540,1099814910,591272770,901301060,243120656,216080976,213974272,260764176,176667184,190561408,
sp|Q66I73|MLRSB_DANRE,Q66I73,MLRSB_DANRE,mylpfb,170,Danio rerio,2:Experimental evidence at transcript level,"Myosin regulatory light chain 2, skeletal muscle isoform B",1,0.999,19,49,49,199,10,7,9,6,10,7,10,7,9,6,10,7,39,32,33,25,39,31,962767360,1001607300,1016445250,827136320,1108767490,781770300,480162112,482666272,517311264,390862432,446634624,350992896,
sp|Q66L49|SCMC1_DANRE,Q66L49,SCMC1_DANRE,slc25a24,477,Danio rerio,2:Experimental evidence at transcript level,Mitochondrial adenyl nucleotide antiporter SLC25A24,1,0.9988,4,12,7,12,0,2,3,3,2,2,0,2,1,2,1,1,0,2,3,3,2,2,0,28254288,43003464,65196760,34979784,22096476,0,28889690,43970556,27803170,28579504,22593398,
sp|Q66L58|VAC14_DANRE,Q66L58,VAC14_DANRE,vac14,771,Danio rerio,2:Experimental evidence at transcript level,Protein VAC14 homolog,1,0.9916,4,7,7,7,3,1,2,0,0,1,3,1,2,0,0,1,3,1,2,0,0,1,107302960,76873208,75373712,0,0,48962344,78866192,76873208,70571288,0,0,48962344,
sp|Q68EH9|CRBN_DANRE,Q68EH9,CRBN_DANRE,crbn,431,Danio rerio,1:Experimental evidence at protein level,Protein cereblon,0.4776,0.9712,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q68EI0|WDR18_DANRE,Q68EI0,WDR18_DANRE,wdr18,431,Danio rerio,2:Experimental evidence at transcript level,WD repeat-containing protein 18,0.996,0.9884,2,2,2,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,31313978,0,0,0,0,0,0,0,
sp|Q68EK7|RAB4B_DANRE,Q68EK7,RAB4B_DANRE,rab4b,213,Danio rerio,2:Experimental evidence at transcript level,Ras-related protein Rab-4B,1,0.9989,2,8,0,8,1,1,1,0,3,2,0,0,0,0,0,0,1,1,1,0,3,2,529268992,408642912,65775968,0,545334660,0,529268992,408642912,65775968,0,545334660,0,sp|Q6PHI9|RAB4A_DANRE
sp|Q6AXJ2|EI3HA_DANRE,Q6AXJ2,EI3HA_DANRE,eif3ha,335,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 3 subunit H-A,0.9995,0.997,2,4,4,4,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,693599.94,0,0,0,0,0,0,0,
sp|Q6AZA0|THIL_DANRE,Q6AZA0,THIL_DANRE,acat1,420,Danio rerio,2:Experimental evidence at transcript level,"Acetyl-CoA acetyltransferase, mitochondrial",1,0.999,13,75,75,75,9,13,13,16,10,14,9,13,13,16,10,14,9,13,13,16,10,14,985889860,1210810240,1262006020,1079405180,1542911870,1527179520,315965536,329003424,353423008,340751456,386584224,367197568,
sp|Q6BEA0|PLXA4_DANRE,Q6BEA0,PLXA4_DANRE,plxna4,1903,Danio rerio,2:Experimental evidence at transcript level,Plexin-A4,0.9961,0.999,3,4,4,8,1,0,1,0,1,1,1,0,1,0,1,1,2,1,1,1,2,1,7668519,0,0,0,17162504,4653600,7668519,0,0,0,17162504,4653600,
sp|Q6DBU5|GMPPB_DANRE,Q6DBU5,GMPPB_DANRE,gmppb,360,Danio rerio,1:Experimental evidence at protein level,Mannose-1-phosphate guanylyltransferase catalytic subunit beta,0.9807,0.9904,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6DBY2|NAA50_DANRE,Q6DBY2,NAA50_DANRE,naa50,168,Danio rerio,1:Experimental evidence at protein level,N-alpha-acetyltransferase 50,0.9379,0.9725,1,3,3,3,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,14804039,5814875,0,0,0,0,14804039,5814875,
sp|Q6DC04|CARM1_DANRE,Q6DC04,CARM1_DANRE,carm1,588,Danio rerio,2:Experimental evidence at transcript level,Histone-arginine methyltransferase CARM1,1,0.9939,4,5,5,5,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,30203204,0,18762748,0,0,0,30203204,0,18762748,
sp|Q6DEH3|KC2D1_DANRE,Q6DEH3,KC2D1_DANRE,camk2d1,491,Danio rerio,2:Experimental evidence at transcript level,Calcium/calmodulin-dependent protein kinase type II delta 1 chain,1,0.999,9,12,12,33,2,3,2,1,2,2,2,3,2,1,2,2,7,6,6,4,6,4,392967232,463131840,192461968,308515168,213563008,346289280,220654240,264571456,192461968,205411280,213563008,229337616,
sp|Q6DG22|ADA_DANRE,Q6DG22,ADA_DANRE,ada,359,Danio rerio,2:Experimental evidence at transcript level,Adenosine deaminase,1,0.9953,4,5,5,5,0,2,1,1,0,1,0,2,1,1,0,1,0,2,1,1,0,1,0,58892792,0,0,0,0,0,0,0,0,0,0,
sp|Q6DG81|PLST_DANRE,Q6DG81,PLST_DANRE,pls3,627,Danio rerio,2:Experimental evidence at transcript level,Plastin-3,1,0.999,8,22,14,22,1,5,4,4,5,3,1,3,2,2,4,2,1,5,4,4,5,3,27076258,117027808,30361886,107730816,98564904,80435096,19725956,56137372,42167548,68684312,30972812,36596492,
sp|Q6DG91|PSMG1_DANRE,Q6DG91,PSMG1_DANRE,psmg1,277,Danio rerio,2:Experimental evidence at transcript level,Proteasome assembly chaperone 1,0.9644,0.999,1,7,7,7,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2955802.5,3206373.8,8227954,3051045.2,4087856.2,8081039,2955802.5,3206373.8,8227954,3051045.2,4087856.2,8081039,
sp|Q6DGE9|UN45B_DANRE,Q6DGE9,UN45B_DANRE,unc45b,934,Danio rerio,1:Experimental evidence at protein level,Protein unc-45 homolog B,1,0.997,6,8,8,8,1,1,0,1,4,1,1,1,0,1,4,1,1,1,0,1,4,1,0,80420112,0,50597492,9362599,83647552,0,80420112,0,47724252,0,83647552,
sp|Q6DGM3|RM15_DANRE,Q6DGM3,RM15_DANRE,mrpl15,296,Danio rerio,2:Experimental evidence at transcript level,Large ribosomal subunit protein uL15m,0.7085,0.989,1,2,2,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,11330731,0,0,0,0,0,0,0,
sp|Q6DGQ4|CP087_DANRE,Q6DGQ4,CP087_DANRE,zgc:92818,152,Danio rerio,2:Experimental evidence at transcript level,UPF0547 protein C16orf87 homolog,0.3328,0.9484,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19952862,0,0,0,0,0,0,
sp|Q6DGR4|HGH1_DANRE,Q6DGR4,HGH1_DANRE,hgh1,377,Danio rerio,2:Experimental evidence at transcript level,Protein HGH1 homolog,0.7494,0.9624,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6DGS3|KC2D2_DANRE,Q6DGS3,KC2D2_DANRE,camk2d2,554,Danio rerio,2:Experimental evidence at transcript level,Calcium/calmodulin-dependent protein kinase type II delta 2 chain,1,0.999,12,53,32,53,11,8,9,10,8,7,6,5,5,7,4,5,11,8,9,10,8,7,888344830,1047642430,926396800,1117232380,1070854910,929165700,383712608,407297600,388782624,376547200,407527296,324139264,
sp|Q6DGW9|TMCO1_DANRE,Q6DGW9,TMCO1_DANRE,tmco1,188,Danio rerio,2:Experimental evidence at transcript level,Calcium load-activated calcium channel,0.9892,0.999,1,5,5,5,2,0,1,0,1,1,2,0,1,0,1,1,2,0,1,0,1,1,17168790,0,12409222,0,44616140,0,17168790,0,12409222,0,44616140,0,
sp|Q6DGY7|CRGNB_DANRE,Q6DGY7,CRGNB_DANRE,crygnb,183,Danio rerio,2:Experimental evidence at transcript level,Gamma-crystallin N-B,1,0.999,12,130,130,130,28,21,24,16,22,19,28,21,24,16,22,19,28,21,24,16,22,19,10749903900,5499281900,7469797400,5530189300,7450149400,5627179500,3075678210,1323732990,1846669180,1365326080,2066896640,1327006590,
sp|Q6DHC1|RB18B_DANRE,Q6DHC1,RB18B_DANRE,rab18b,205,Danio rerio,2:Experimental evidence at transcript level,Ras-related protein Rab-18-B,0.9955,0.995,2,3,3,3,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,17415298,0,0,0,0,0,0,0,0,0,
sp|Q6DHE8|RHOAD_DANRE,Q6DHE8,RHOAD_DANRE,rhoad,193,Danio rerio,1:Experimental evidence at protein level,Rho-related GTP-binding protein RhoA-D,0.9983,0.9983,8,2,2,27,0,0,0,1,1,0,0,0,0,1,1,0,2,5,5,3,7,5,0,0,0,14761241,32211166,0,0,0,0,14761241,32211166,0,
sp|Q6DHI0|ACY3A_DANRE,Q6DHI0,ACY3A_DANRE,acy3.1,328,Danio rerio,2:Experimental evidence at transcript level,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) A,0.7112,0.9891,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6DHK1|NNRE_DANRE,Q6DHK1,NNRE_DANRE,naxe,283,Danio rerio,1:Experimental evidence at protein level,NAD(P)H-hydrate epimerase,0.3809,0.9578,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6DHL4|SUMO2_DANRE,Q6DHL4,SUMO2_DANRE,sumo2,96,Danio rerio,3:Protein inferred from homology,Small ubiquitin-related modifier 2,0.9024,0.9971,1,3,0,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,67856232,109977360,0,151895728,96394032,114271480,67856232,109977360,0,151895728,96394032,114271480,"sp|Q6DI05|SUMO3_DANRE, sp|Q6NV25|SMO3L_DANRE"
sp|Q6DHL5|LRC57_DANRE,Q6DHL5,LRC57_DANRE,lrrc57,238,Danio rerio,2:Experimental evidence at transcript level,Leucine-rich repeat-containing protein 57,0.4995,0.9735,1,4,4,4,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6DHM9|RHOAB_DANRE,Q6DHM9,RHOAB_DANRE,rhoab,193,Danio rerio,1:Experimental evidence at protein level,Rho-related GTP-binding protein RhoA-B,0.9636,0.9645,8,1,1,24,0,1,0,0,0,0,0,1,0,0,0,0,4,5,6,0,4,5,0,1114384.8,0,0,0,0,0,0,0,0,0,0,
sp|Q6DRC0|SYSC_DANRE,Q6DRC0,SYSC_DANRE,sars1,515,Danio rerio,1:Experimental evidence at protein level,"Serine--tRNA ligase, cytoplasmic",1,0.999,13,35,35,35,5,8,5,8,2,7,5,8,5,8,2,7,5,8,5,8,2,7,87531848,253889648,20404530,322738528,24321206,110449224,37702828,55083352,29826188,65112528,49510012,37502276,
sp|Q6DRC4|EIF3G_DANRE,Q6DRC4,EIF3G_DANRE,eif3g,293,Danio rerio,1:Experimental evidence at protein level,Eukaryotic translation initiation factor 3 subunit G,1,0.9989,3,9,9,9,2,1,2,1,3,0,2,1,2,1,3,0,2,1,2,1,3,0,41142448,40944404,50880960,32748420,59023364,0,33538232,40944404,38027440,32748420,47900220,0,
sp|Q6DRD3|DPOLB_DANRE,Q6DRD3,DPOLB_DANRE,polb,336,Danio rerio,2:Experimental evidence at transcript level,DNA polymerase beta,0.9606,0.9989,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3492078,0,0,0,0,0,0,0,0,0,0,
sp|Q6DRF3|PSB1_DANRE,Q6DRF3,PSB1_DANRE,psmb1,237,Danio rerio,2:Experimental evidence at transcript level,Proteasome subunit beta type-1,1,0.999,9,33,33,33,6,4,6,2,11,4,6,4,6,2,11,4,6,4,6,2,11,4,215695312,217041312,236748640,54144492,276160224,67927664,80449776,34045504,213928992,33335578,100830824,141191760,
sp|Q6DRG1|RBM42_DANRE,Q6DRG1,RBM42_DANRE,rbm42,402,Danio rerio,2:Experimental evidence at transcript level,RNA-binding protein 42,0.5213,0.9757,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6DRI1|EI3EA_DANRE,Q6DRI1,EI3EA_DANRE,eif3ea,446,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 3 subunit E-A,1,0.999,11,35,18,35,9,5,6,5,5,5,4,2,3,4,3,2,9,5,6,5,5,5,1206300030,1586562300,313927520,1504028030,294292160,1537332480,522095104,590383300,549544510,684189380,495708256,575882240,
sp|Q6DRL5|MBB1A_DANRE,Q6DRL5,MBB1A_DANRE,mybbp1a,1269,Danio rerio,1:Experimental evidence at protein level,Myb-binding protein 1A-like protein,0.7563,0.9913,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6GMG6|S5A3B_DANRE,Q6GMG6,S5A3B_DANRE,slc52a3b,452,Danio rerio,2:Experimental evidence at transcript level,"Solute carrier family 52, riboflavin transporter, member 3-B",0.7535,0.9912,1,5,5,5,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,12715622,0,23131518,10381482,17457234,50329464,12715622,0,23131518,10381482,17457234,50329464,
sp|Q6GMI7|ENOPH_DANRE,Q6GMI7,ENOPH_DANRE,enoph1,261,Danio rerio,2:Experimental evidence at transcript level,Enolase-phosphatase E1,1,0.9988,4,9,9,9,0,2,2,2,0,3,0,2,2,2,0,3,0,2,2,2,0,3,0,125753024,0,7783650.5,0,81534384,0,125753024,0,0,0,81534384,
sp|Q6IQ97|RBM41_DANRE,Q6IQ97,RBM41_DANRE,rbm4.1,419,Danio rerio,1:Experimental evidence at protein level,RNA-binding protein 4.1,0.9999,0.999,2,7,7,7,0,0,1,3,2,1,0,0,1,3,2,1,0,0,1,3,2,1,0,0,7428588.5,36388588,90686304,23463676,0,0,7428588.5,26936462,67307088,23463676,
sp|Q6IQE0|PU60B_DANRE,Q6IQE0,PU60B_DANRE,puf60b,516,Danio rerio,2:Experimental evidence at transcript level,Poly(U)-binding-splicing factor PUF60-B,1,0.999,4,17,17,17,2,2,1,3,3,6,2,2,1,3,3,6,2,2,1,3,3,6,79429400,25962862,0,61650108,21369720,136499536,55658956,170522368,0,29803132,25467226,60420316,
sp|Q6IQE1|PI42C_DANRE,Q6IQE1,PI42C_DANRE,pip4k2c,416,Danio rerio,2:Experimental evidence at transcript level,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,0.9187,0.9976,1,2,2,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6IQE5|GET3_DANRE,Q6IQE5,GET3_DANRE,get3,341,Danio rerio,1:Experimental evidence at protein level,ATPase GET3,1,0.9976,4,5,5,5,0,1,1,0,1,2,0,1,1,0,1,2,0,1,1,0,1,2,0,0,49272372,0,5261837.5,56318372,0,0,49272372,0,0,38087616,
sp|Q6IQM2|CYC_DANRE,Q6IQM2,CYC_DANRE,cyc,104,Danio rerio,3:Protein inferred from homology,Cytochrome c,1,0.999,3,19,12,19,2,4,3,3,4,3,1,2,2,2,3,2,2,4,3,3,4,3,35693184,44597152,120402896,90737456,85902416,98405024,21630480,27918814,65694132,51464688,52035232,57728672,
sp|Q6IQP3|CALUA_DANRE,Q6IQP3,CALUA_DANRE,calua,315,Danio rerio,2:Experimental evidence at transcript level,Calumenin-A,0.323,0.9462,1,2,2,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,6621755.5,0,7339566.5,0,0,0,6621755.5,0,7339566.5,
sp|Q6IQS6|SAE1_DANRE,Q6IQS6,SAE1_DANRE,sae1,348,Danio rerio,2:Experimental evidence at transcript level,SUMO-activating enzyme subunit 1,1,0.9987,8,31,31,31,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,6,5,160896784,62008144,144852944,43464516,158625776,94650432,52823408,33884304,59158444,33440638,54969256,62526124,
sp|Q6IQT4|CSN2_DANRE,Q6IQT4,CSN2_DANRE,cops2,443,Danio rerio,2:Experimental evidence at transcript level,COP9 signalosome complex subunit 2,0.5033,0.9739,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6JWV8|POPD2_DANRE,Q6JWV8,POPD2_DANRE,popdc2,370,Danio rerio,2:Experimental evidence at transcript level,Popeye domain-containing 2,0.9506,0.9986,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6NSN1|LS12B_DANRE,Q6NSN1,LS12B_DANRE,lsm12b,196,Danio rerio,2:Experimental evidence at transcript level,Protein LSM12 homolog B,0.5423,0.9776,1,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,34992248,70929952,0,0,0,0,34992248,70929952,sp|Q6PBA2|LS12A_DANRE
sp|Q6NSN2|AOF_DANRE,Q6NSN2,AOF_DANRE,mao,522,Danio rerio,1:Experimental evidence at protein level,Amine oxidase [flavin-containing],1,0.999,9,24,24,24,3,4,7,6,2,2,3,4,7,6,2,2,3,4,7,6,2,2,13348312,50729644,159838512,120310128,0,57923296,83187520,91582368,67585752,36614508,0,27276730,
sp|Q6NSN5|PURA1_DANRE,Q6NSN5,PURA1_DANRE,adss1,456,Danio rerio,1:Experimental evidence at protein level,Adenylosuccinate synthetase isozyme 1,1,0.999,3,27,27,27,3,6,2,6,5,5,3,6,2,6,5,5,3,6,2,6,5,5,25342324,11978032,0,71845768,209409184,110652768,23010590,13695067,0,31998398,107041040,60273980,
sp|Q6NUW5|AN32E_DANRE,Q6NUW5,AN32E_DANRE,anp32e,250,Danio rerio,1:Experimental evidence at protein level,Acidic leucine-rich nuclear phosphoprotein 32 family member E,1,0.999,8,72,72,72,12,14,15,11,10,10,12,14,15,11,10,10,12,14,15,11,10,10,651299260,1086662660,1160452740,883747780,726740670,577403460,209055568,277112512,343804576,178651168,180376608,193879584,
sp|Q6NUW9|FGGY_DANRE,Q6NUW9,FGGY_DANRE,fggy,545,Danio rerio,2:Experimental evidence at transcript level,FGGY carbohydrate kinase domain-containing protein,0.486,0.9721,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6NUX8|RHOAA_DANRE,Q6NUX8,RHOAA_DANRE,rhoaa,193,Danio rerio,1:Experimental evidence at protein level,Rho-related GTP-binding protein RhoA-A,1,0.999,9,38,0,38,6,7,7,3,8,7,0,0,0,0,0,0,6,7,7,3,8,7,80921944,275511360,130519552,192604016,254235648,153977664,63532560,95094976,113040728,94670392,73234952,69132144,sp|Q7T2E8|RHOAC_DANRE
sp|Q6NV04|HACL2_DANRE,Q6NV04,HACL2_DANRE,ilvbl,621,Danio rerio,2:Experimental evidence at transcript level,2-hydroxyacyl-CoA lyase 2,1,0.999,2,20,20,20,4,3,5,3,2,3,4,3,5,3,2,3,4,3,5,3,2,3,6778671,6665684,5848367.5,3592830.5,4027304,1220572.2,6998768,3239724.2,6038258.5,3709486.2,4158066.8,1120885.1,
sp|Q6NV31|WDR82_DANRE,Q6NV31,WDR82_DANRE,wdr82,313,Danio rerio,2:Experimental evidence at transcript level,WD repeat-containing protein 82,1,0.999,1,3,3,3,0,0,1,0,2,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,21076964,0,21877124,0,0,0,21076964,0,21877124,0,
sp|Q6NVC5|MIRO1_DANRE,Q6NVC5,MIRO1_DANRE,rhot1a,619,Danio rerio,2:Experimental evidence at transcript level,Mitochondrial Rho GTPase 1-A,0.9981,0.9888,2,3,3,3,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,11727621,0,0,0,0,0,0,0,0,0,0,
sp|Q6NWC6|CPSF6_DANRE,Q6NWC6,CPSF6_DANRE,cpsf6,545,Danio rerio,2:Experimental evidence at transcript level,Cleavage and polyadenylation specificity factor subunit 6,1,0.9972,4,11,11,11,0,1,1,3,3,3,0,1,1,3,3,3,0,1,1,3,3,3,0,0,0,1727629.6,0,9046303,0,0,0,3091196.8,0,3852564.5,
sp|Q6NWD4|TIM50_DANRE,Q6NWD4,TIM50_DANRE,timm50,387,Danio rerio,2:Experimental evidence at transcript level,Mitochondrial import inner membrane translocase subunit TIM50,0.9495,0.9986,1,2,2,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6NWF6|K2C8_DANRE,Q6NWF6,K2C8_DANRE,krt8,520,Danio rerio,1:Experimental evidence at protein level,"Keratin, type II cytoskeletal 8",1,0.999,27,156,153,202,22,32,27,21,24,30,22,30,27,21,23,30,32,38,33,28,32,39,2206937860,3846222340,3500986620,3023291650,2969608190,4068099580,1047477310,1408290050,1730299650,1343615620,1352684290,1596176900,
sp|Q6NWH2|MRPB_DANRE,Q6NWH2,MRPB_DANRE,marcksl1b,207,Danio rerio,2:Experimental evidence at transcript level,MARCKS-related protein 1-B,0.4898,0.9725,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6NWH5|TMM11_DANRE,Q6NWH5,TMM11_DANRE,tmem11,187,Danio rerio,2:Experimental evidence at transcript level,"Transmembrane protein 11, mitochondrial",0.9644,0.999,1,8,8,8,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,8978319,0,0,0,0,0,0,0,0,0,0,0,
sp|Q6NWK2|AP2MA_DANRE,Q6NWK2,AP2MA_DANRE,ap2m1a,436,Danio rerio,2:Experimental evidence at transcript level,AP-2 complex subunit mu-A,1,0.999,8,34,0,34,7,7,4,8,3,5,0,0,0,0,0,0,7,7,4,8,3,5,364788832,553357950,235783584,328581792,164917072,309152224,210091024,192870112,203142160,189517264,164917072,181022336,sp|Q7ZW98|AP2MB_DANRE
sp|Q6NWL1|PD10B_DANRE,Q6NWL1,PD10B_DANRE,pdcd10b,210,Danio rerio,1:Experimental evidence at protein level,Programmed cell death protein 10-B,0.7271,0.9899,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sp|Q6PHH3|PD10A_DANRE
sp|Q6NWL4|CNOT9_DANRE,Q6NWL4,CNOT9_DANRE,cnot9,298,Danio rerio,2:Experimental evidence at transcript level,CCR4-NOT transcription complex subunit 9,0.9268,0.9924,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
